"","shortPostCode","population2019","population2020","population2021","population2022"
"70","B75 ",26836.7822260329,26987.4051128832,27138.8733788051,27291.1917685342
"71","B76 ",21772.5174045729,21894.7168321292,22017.6021105598,22141.1770892395
"72","B77 ",57634.6723018931,57958.1500069199,58283.443248003,58610.5622149361
"73","B78 ",24510.8003888532,24648.3685772629,24786.7088745455,24925.8256142036
"74","B79 ",22250.1833676773,22375.0637211996,22500.6449724376,22626.9310552174
"75","B8  ",42164.3287726358,42400.9783406931,42638.9561172075,42878.2695568206
"76","B80 ",7099.62463056139,7139.47165649774,7179.54232601506,7219.837894325
"77","B9  ",25042.7694298683,25183.3233231959,25324.6660828262,25466.8021363138
"78","B90 ",45613.5798325261,45869.5885080851,46127.0340461355,46385.9245111456
"79","B91 ",33352.1459627761,33539.3366798023,33727.578014818,33916.8758644735
"80","B92 ",37454.03957015,37664.2523861556,37875.6450329222,38088.2241323137
"81","B93 ",19816.6009872299,19927.8227284624,20039.6687077128,20152.1424285508
"82","B94 ",7421.42064781064,7463.07377123984,7504.96067506956,7547.08267140489
"83","B95 ",5694.78389275767,5726.74617432673,5758.88784592397,5791.20991438562
"84","B96 ",5101.47248595438,5130.10477527097,5158.89776485473,5187.85235664458
"85","B97 ",33681.9868804566,33871.0288474129,34061.1318225989,34252.3017609804
"86","B98 ",50338.9532233204,50621.4833117512,50905.5991155328,51191.3095345781
"87","BA1 ",40951.5600326277,41181.4028707588,41412.5357142084,41644.9658032007
"88","BA10",3759.98533904661,3781.08845943981,3802.31002223375,3823.6506921928
"89","BA11",32636.1498243965,32819.3219745011,33003.5221881718,33188.7562354708
"90","BA12",28668.0026866918,28828.9033970875,28990.7071713934,29153.4190781044
"91","BA13",20337.5082901521,20451.6536517012,20566.4396602448,20681.8699114489
"92","BA14",48408.177119825,48679.8706232986,48953.0890212058,49227.8408720987
"93","BA15",13212.7433457431,13286.9005799892,13361.4740257099,13436.4660189145
"94","BA16",13114.1933154605,13187.7974323494,13261.8146563119,13336.2473059338
"95","BA2 ",74165.937075519,74582.1973951871,75000.7939983374,75421.7399974869
"96","BA20",10925.9803981657,10987.3030521031,11048.9698827413,11110.9828217905
"97","BA21",33807.6884496945,33997.4359234841,34188.2483651983,34380.1317520272
"98","BA22",18267.9576542179,18370.487551266,18473.592902888,18577.2769388538
"99","BA3 ",34904.8117460037,35100.7168834329,35297.721549006,35495.831913884
"100","BA4 ",17874.7631456415,17975.0862173155,18075.9723576371,18177.4247268593
"101","BA5 ",17632.4105201506,17731.3733746503,17830.8916635054,17930.9685041211
"102","BA6 ",12942.2335687429,13014.8725522841,13087.9192260359,13161.3758781817
"103","BA7 ",3533.72251441824,3553.55572251176,3573.5002455548,3593.55670830851
"104","BA8 ",4176.30893636282,4199.74869538741,4223.32001132302,4247.02362253991
"105","BA9 ",7282.6461153719,7323.52035925731,7364.62401203981,7405.95836128919
"106","BB1 ",66918.4873995337,67294.0710172297,67671.7626182255,68051.5740336908
"107","BB10",37642.08911773,37853.357371958,38065.8113806509,38279.4577989198
"108","BB11",22345.7165602981,22471.1330990136,22597.2535448131,22724.081848413
"109","BB12",34807.267328275,35002.6249924017,35199.0791119489,35396.6358408316
