"","postCode","town","district","county","shortPostCode","population2019","population2020","population2021","population2022"
"79","LE12 7EA","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"80","LE12 9WJ","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"81","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"82","LE12 7XF","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"83","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"84","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"85","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"86","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"87","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"88","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"89","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"90","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"91","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"92","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"93","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"94","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"95","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"96","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"97","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"98","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"99","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"100","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"101","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"102","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"103","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"104","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"105","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"106","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"107","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"108","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"109","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"110","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"111","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"112","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"113","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"114","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"115","LE12 7XF","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"116","CV13 0PE","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","CV13",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"117","LE17 6DF","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"118","DE74 2GD","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","DE74",11555.4938569095,11620.3496890674,11685.5695280792,11751.1554169531
"119","BB12 8PY","BURNLEY","BURNLEY","LANCASHIRE","BB12",34807.267328275,35002.6249924017,35199.0791119489,35396.6358408316
"120","LE17 4HZ","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"121","CV13 6EX","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","CV13",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
